source_id,source_title,selection_group,extraction_batch,duplicate_policy,license_status,owner_review_status,intake_status,selection_reason
SRC-CONSULT-001,McKinsey Approach to Problem Solving from Umbrex,retained_batch30,batch-01-delivery-craft,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-002,Consulting Frameworks Toolkit from Umbrex,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-003,Project Kickoff Toolkit from Umbrex,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-004,Executive Summary Slides from Umbrex,retained_batch30,batch-01-delivery-craft,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-005,Proposal template for a consulting project,retained_batch30,batch-06-client-development,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-006,RFP Playbook,retained_batch30,batch-06-client-development,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-007,Supply Chain Diagnostic Guide,retained_batch30,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-008,Umbrex Business Analytics Diagnostic Guide,retained_batch30,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-009,Umbrex Customer Experience Diagnostic Guide,retained_batch30,batch-02-diagnostics,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-010,Commercial Due Diligence Playbook 2024,retained_batch30,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-011,Operational Due Diligence Playbook,retained_batch30,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-012,Post merger integration playbook,retained_batch30,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-013,The Umbrex Library of Functional Key Performance,retained_batch30,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-014,Umbrex Library of Industry-specific KPIs,retained_batch30,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-015,The Umbrex Library of Industry Acronyms,retained_batch30,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from approved batch30 local expansion
SRC-CONSULT-017,B2B Go to Market Strategy Handbook,retained_batch30,batch-01-methodology-playbooks,prefer_pdf_for_page_anchors,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-018,Business Plan Playbook,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-019,Busy Consultants Guide to PowerPoint,retained_batch30,batch-01-delivery-craft,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-020,Career Services Guide to Consulting,retained_batch30,batch-06-client-development,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-021,Chief Strategy Officer Handbook,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-022,Company Culture Diagnostic Guide,retained_batch30,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-023,Competitive Intelligence Playbook v3 2024,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-027,Executive Handover Playbook,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-028,Finance Department The Umbrex Diagnostic Guide,retained_batch30,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-060,How to Find Clients,retained_batch30,batch-06-client-development,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-063,Marketing Plan Playbook,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-064,Organizational Design Diagnostic Playbook First,retained_batch30,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-065,PESTEL Analysis Playbook First Edition,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-067,Project Management Office Playbook,retained_batch30,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-079,Umbrex PowerPoint Template for Consultants Third Edition,retained_batch30,batch-01-delivery-craft,not_duplicate,pending_legal_review,pending_review,registered,retained from approved batch30 local expansion
SRC-CONSULT-024,Consumer & Retail,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-025,Create Your Own Internship,batch60_addition,batch-06-client-development,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-026,Email Deliverability Playbook First Edition,batch60_addition,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-029,Getting Started with Advanced Data Analysis in ChatGPT v2023 10 02,batch60_addition,batch-05-reference-data,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-032,Healthcare & Life Sciences,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-033,How The Professional & Business Services Industr,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-034,How Waste Management & Sustainability Works,batch60_addition,batch-99-needs-human-triage,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-035,How the Aerospace & Defense Industry Works,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-036,How the Automotive & Transportation Industry Wor,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-037,How the Technology & Telecom Industry Works,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-038,How to Analyze a Biotechnology Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-039,How to Analyze a Chemicals Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-040,How to Analyze a Commercial Bank,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-041,How to Analyze a Consumer Packaged Goods Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-042,How to Analyze a Cosmetics Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-043,How to Analyze a Health Payor,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-044,How to Analyze a Healthcare Provider,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-045,How to Analyze a Hospitality Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-046,How to Analyze a Manufacturing Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-047,How to Analyze a Media & Entertainment Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-048,How to Analyze a Medical Devices Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-049,How to Analyze a Metals & Mining Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-050,How to Analyze a Pharmaceutical Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-051,How to Analyze a Property & Casualty Insurance C,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-052,How to Analyze a Retail Bank,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-053,How to Analyze a Retail Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-054,How to Analyze a Telecommunications Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-055,How to Analyze a Third Party Logistics Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-056,How to Analyze a Waste Management Company,batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
SRC-CONSULT-057,"How to Analyze a Wine, Beer & Spirits Company",batch60_addition,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,next non-duplicate registered source selected for local batch60 coverage
